@relation 'anaphora-antecedent'

@attribute anaphora string
@attribute tree_relation {k1,k2,k7,k7p,k7t,r6,nmod,vmod,OTH}
@attribute gender {m,f,any,X}
@attribute number {sg,pl,any,X}
@attribute person {1,1h,3,3h,2,2h,any,X}
@attribute relation {o,d,any,X}
@attribute preposition {0,meM,ne,ke,kA,ko,kO,se,me,eM,X}
@attribute position numeric
@attribute last_word {Y,N}
@attribute class {N,V,U}

@data

अब,k7t,X,X,X,d,X,170,Y,U
स्वयं,nmod,X,X,X,d,X,60,Y,N
यह,k2,any,sg,3,d,0,30,N,V
उनमें,k7,any,pl,3,o,meM,320,Y,N
कोई,k2,any,sg,3,d,X,70,N,U
वे,k1,any,pl,3,d,0,100,Y,N
अपने,r6,m,any,any,o,0,110,Y,N
उन्होंने,k1,any,sg,3h,o,ne,10,Y,N
यह,OTH,any,sg,3,d,0,150,Y,V
अपने,r6,m,any,any,o,0,190,Y,N
अपने2,vmod,m,any,any,o,0,260,N,N
यह,k2,any,sg,3,d,0,30,N,V
जो,k1,any,pl,3,d,0,230,Y,N
इसके,k7t,any,sg,3,o,ke,20,N,V
कुछ,k1,any,any,3,d,0,40,Y,U
इसके,OTH,any,sg,3,o,ke,10,N,V
यह,k1,any,sg,3,d,0,30,Y,N
उन्होंने,k1,any,sg,3h,o,ne,30,Y,N
हमें,OTH,any,pl,1,o,kA,60,Y,N
इसलिए,OTH,X,X,X,X,X,10,Y,V
यह,k1,any,sg,3,d,0,230,Y,N
उन्होंने,k1,any,sg,3h,o,ne,10,Y,N
इसके,OTH,any,sg,3,o,ke,40,N,V
वह,k1,any,sg,3,d,0,50,Y,N
उन्होंने,k1,any,sg,3h,o,ne,10,Y,N
अपना,r6,m,sg,any,d,0,20,Y,N
जिसका,r6,m,sg,3,o,kA,10,Y,N
वह,k1,any,sg,3,d,0,150,N,N
जिसके,OTH,m,sg,3,o,ke,290,N,N
इनमें,k7,any,pl,3,o,meM,10,Y,N
उसे,k2,any,sg,3,o,ko,10,Y,N
उसे,k2,any,sg,3,o,ko,180,Y,N
इसमें,k7,any,sg,3,o,meM,10,Y,N
अब,k7t,X,X,X,d,X,20,N,U
इनके,vmod,m,pl,3,o,ke,40,N,N
इसके,vmod,any,sg,3,o,ke,10,N,V
इसलिए,OTH,X,X,X,X,X,10,Y,U
वहां,OTH,X,X,X,d,X,230,Y,N
इसके,k7t,m,sg,3,o,ke,10,N,V
यह,k1,any,sg,3,d,0,100,Y,N
उनके,OTH,m,sg,3,o,ke,20,N,N
इसके,r6,m,sg,3,o,kA,60,Y,N
